date,location,customer_name,products,payment_type,total,card_number
06/07/2022 09:00,Birmingham,Barbara Thomas,Regular - Red Label tea - None - 1.20,1.2,CASH,nan
06/07/2022 09:03,Birmingham,Nicholas Mcgarry,"Regular - Chai latte - None - 2.30, Large - Red Label tea - None - 1.80, Large - Flavoured hot chocolate - Caramel - 2.90, Large - Flavoured hot chocolate - Caramel - 2.90, Large - Red Label tea - None - 1.80, Regular - Chai latte - None - 2.30",14.0,CARD,3821
06/07/2022 09:06,Birmingham,Robert Lopez,Regular - Speciality Tea - Camomile - 1.30,1.3,CARD,0234
06/07/2022 09:09,Birmingham,Andrew Nichols,"Large - Chai latte - None - 2.60, Large - Flavoured hot chocolate - Caramel - 2.90, Large - Cortado - None - 2.35, Regular - Chai latte - None - 2.30",10.15,CASH,nan
06/07/2022 09:12,Birmingham,Leslie Wilson,"Large - Speciality Tea - English breakfast - 1.60, Large - Chai latte - None - 2.60",4.2,CASH,nan
06/07/2022 09:15,Birmingham,Latarsha Sutherland,"Large - Flavoured hot chocolate - Caramel - 2.90, Regular - Cortado - None - 2.05",4.95,CARD,6692
06/07/2022 09:18,Birmingham,Esther Cantrell,"Regular - Speciality Tea - Camomile - 1.30, Large - Red Label tea - None - 1.80, Large - Speciality Tea - Camomile - 1.60",4.7,CARD,0326
06/07/2022 09:22,Birmingham,Nicholas Pitsch,"Large - Red Label tea - None - 1.80, Regular - Chai latte - None - 2.30",4.1,CARD,8122
06/07/2022 09:25,Birmingham,Phillip White,"Regular - Chai latte - None - 2.30, Large - Flavoured hot chocolate - Caramel - 2.90, Regular - Speciality Tea - English breakfast - 1.30, Regular - Speciality Tea - English breakfast - 1.30, Regular - Speciality Tea - Camomile - 1.30",9.1,CARD,1628
06/07/2022 09:28,Birmingham,Gregory Grady,Large - Flavoured hot chocolate - Caramel - 2.90,2.9,CARD,3768
06/07/2022 09:31,Birmingham,Nicole Nattiah,"Large - Flavoured hot chocolate - Caramel - 2.90, Regular - Cortado - None - 2.05, Large - Flavoured hot chocolate - Caramel - 2.90, Large - Chai latte - None - 2.60",10.45,CASH,nan
06/07/2022 09:34,Birmingham,Aaron Martinez,"Large - Speciality Tea - Camomile - 1.60, Regular - Flavoured hot chocolate - Caramel - 2.60, Large - Speciality Tea - Camomile - 1.60",5.8,CARD,0439
06/07/2022 09:37,Birmingham,Terri Schuller,"Regular - Cortado - None - 2.05, Regular - Speciality Tea - English breakfast - 1.30",3.35,CASH,nan
